,Movie,Year,Duration (min),Genre,IMDb,Votes,Gross (Mill)
0,The Shawshank Redemption,1994,142,Drama,9.3,2313251,28.34
1,The Godfather,1972,175,"Crime, Drama",9.2,1597049,134.97
2,The Dark Knight,2008,152,"Action, Crime, Drama",9,2275850,534.86
3,The Godfather: Part II,1974,202,"Crime, Drama",9,1115603,57.3
4,12 Angry Men,1957,96,"Crime, Drama",9,680406,4.36
5,The Lord of the Rings: The Return of the King,2003,201,"Action, Adventure, Drama",8.9,1624218,377.85
6,Pulp Fiction,1994,154,"Crime, Drama",8.9,1805132,107.93
7,Schindler's List,1993,195,"Biography, Drama, History",8.9,1199899,96.9
8,Inception,2010,148,"Action, Adventure, Sci-Fi",8.8,2038216,292.58
9,Soorarai Pottru,2020,153,Drama,8.8,49670,-
10,Fight Club,1999,139,Drama,8.8,1832729,37.03
11,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Action, Adventure, Drama",8.8,1640352,315.54
12,Forrest Gump,1994,142,"Drama, Romance",8.8,1783410,330.25
13,"The Good, the Bad and the Ugly",1966,178,Western,8.8,681299,6.1
14,The Lord of the Rings: The Two Towers,2002,179,"Action, Adventure, Drama",8.7,1468287,342.55
15,The Matrix,1999,136,"Action, Sci-Fi",8.7,1655481,171.48
16,Goodfellas,1990,146,"Biography, Crime, Drama",8.7,1007187,46.84
17,Star Wars: Episode V - The Empire Strikes Back,1980,124,"Action, Adventure, Fantasy",8.7,1145963,290.48
18,One Flew Over the Cuckoo's Nest,1975,133,Drama,8.7,908194,112
19,Hamilton,2020,160,"Biography, Drama, History",8.6,48224,-
20,Parasite,2019,132,"Comedy, Drama, Thriller",8.6,515231,53.37
21,Interstellar,2014,169,"Adventure, Drama, Sci-Fi",8.6,1483703,188.02
22,City of God,2002,130,"Crime, Drama",8.6,693139,7.56
23,Spirited Away,2001,125,"Animation, Adventure, Family",8.6,640104,10.06
24,Saving Private Ryan,1998,169,"Drama, War",8.6,1221095,216.54
25,The Green Mile,1999,189,"Crime, Drama, Fantasy",8.6,1131533,136.8
26,Life Is Beautiful,1997,116,"Comedy, Drama, Romance",8.6,615480,57.6
27,Se7en,1995,127,"Crime, Drama, Mystery",8.6,1425481,100.13
28,The Silence of the Lambs,1991,118,"Crime, Drama, Thriller",8.6,1254665,130.74
29,Star Wars: Episode IV - A New Hope,1977,121,"Action, Adventure, Fantasy",8.6,1217786,322.74
30,Harakiri,1962,133,"Action, Drama, Mystery",8.6,40156,-
31,Seven Samurai,1954,163,"Action, Adventure, Drama",8.6,312448,0.27
32,It's a Wonderful Life,1946,130,"Drama, Family, Fantasy",8.6,393488,-
33,Joker,2019,122,"Crime, Drama, Thriller",8.5,903474,335.45
34,Vikram Vedha,2017,147,"Action, Crime, Drama",8.5,26682,-
35,Whiplash,2014,106,"Drama, Music",8.5,704881,13.09
36,The Intouchables,2011,112,"Biography, Comedy, Drama",8.5,748241,13.18
37,The Prestige,2006,130,"Drama, Mystery, Sci-Fi",8.5,1174039,53.09
38,The Departed,2006,151,"Crime, Drama, Thriller",8.5,1175665,132.38
39,The Pianist,2002,150,"Biography, Drama, Music",8.5,719770,32.57
40,Gladiator,2000,155,"Action, Adventure, Drama",8.5,1325910,187.71
41,American History X,1998,119,Drama,8.5,1025468,6.72
42,The Usual Suspects,1995,106,"Crime, Mystery, Thriller",8.5,981136,23.34
43,Léon: The Professional,1994,110,"Action, Crime, Drama",8.5,1022807,19.5
44,The Lion King,1994,88,"Animation, Adventure, Drama",8.5,930484,422.78
45,Terminator 2: Judgment Day,1991,137,"Action, Sci-Fi",8.5,986382,204.84
46,Cinema Paradiso,1988,155,Drama,8.5,227304,11.99
47,Grave of the Fireflies,1988,89,"Animation, Drama, War",8.5,230998,-
48,Back to the Future,1985,116,"Adventure, Comedy, Sci-Fi",8.5,1044305,210.61
49,Once Upon a Time in the West,1968,165,Western,8.5,299672,5.32
50,Psycho,1960,109,"Horror, Mystery, Thriller",8.5,597627,32
51,Casablanca,1942,102,"Drama, Romance, War",8.5,516525,1.02
52,Modern Times,1936,87,"Comedy, Drama, Family",8.5,214991,0.16
53,City Lights,1931,87,"Comedy, Drama, Romance",8.5,165669,0.02
